,Coefficient,magnitude
nmme-prate-34w__nmmemean,6.535754126134594,6.535754126134594
nmme-tmp2m-34w__nmmemean,6.005310232777337,6.005310232777337
wind-hgt-500-2010-1,4.259690107168255,4.259690107168255
nmme0-prate-56w__nmme0mean,3.4993147867873815,3.4993147867873815
nmme0-tmp2m-34w__nmme0mean,3.301395084423197,3.301395084423197
nmme0-tmp2m-34w__cancm40,-3.2390822266858352,3.2390822266858352
nmme0-prate-34w__nmme0mean,3.2300179495303833,3.2300179495303833
contest-slp-14d__slp,-2.9159426542815408,2.9159426542815408
nmme-tmp2m-56w__gfdlflorb,2.839424110306496,2.839424110306496
nmme-prate-56w__nmmemean,2.780530005476983,2.780530005476983
nmme-tmp2m-56w__cancm3,-2.2052283081620994,2.2052283081620994
wind-vwnd-925-2010-1,-2.1539709830602924,2.1539709830602924
wind-hgt-100-2010-1,-2.1469661999117027,2.1469661999117027
nmme0-tmp2m-34w__gfdlflorb0,-2.053180714141899,2.053180714141899
contest-wind-h500-14d__wind-hgt-500,2.0471083571585966,2.0471083571585966
nmme-tmp2m-34w__nasa,1.9388493945444938,1.9388493945444938
nmme-tmp2m-56w__nasa,-1.8678036990941023,1.8678036990941023
nmme-tmp2m-34w__cancm4,-1.8007207410331278,1.8007207410331278
gfdlflora0,1.7999044524729806,1.7999044524729806
nmme-tmp2m-56w__gfdl,-1.7980533046452323,1.7980533046452323
wind-uwnd-250-2010-1,-1.7277929258412632,1.7277929258412632
contest-wind-h850-14d__wind-hgt-850,1.63062505822343,1.63062505822343
sst-2010-1,-1.5470964684354724,1.5470964684354724
wind-hgt-100-2010-3,-1.5164947093196637,1.5164947093196637
wind-hgt-10-2010-7,1.500142054881487,1.500142054881487
ccsm40,-1.4987502480023356,1.4987502480023356
nmme-tmp2m-34w__gfdl,-1.4971435403105167,1.4971435403105167
nmme-tmp2m-56w__cfsv2,1.4510529569777475,1.4510529569777475
wind-hgt-10-2010-1,-1.3871181162633,1.3871181162633
wind-hgt-10-2010-5,1.2787359333775665,1.2787359333775665
cancm30,1.2691731865703366,1.2691731865703366
climateregions__climateregion_BWh,1.243982079361478,1.243982079361478
icec-2010-1,-1.171459797269922,1.171459797269922
wind-hgt-100-2010-4,-1.1563925449478285,1.1563925449478285
gfdlflorb0,-1.1502678639995596,1.1502678639995596
nmme-prate-34w__cfsv2,-1.084105231244492,1.084105231244492
nmme-tmp2m-34w__cfsv2,-1.0558197028471046,1.0558197028471046
contest-pres-sfc-gauss-14d__pres,1.0375928703137018,1.0375928703137018
nmme-tmp2m-34w__cancm3,1.0335666060526476,1.0335666060526476
wind-uwnd-925-2010-1,-1.0290891252089125,1.0290891252089125
wind-uwnd-925-2010-6,1.0094759094546388,1.0094759094546388
nmme-prate-34w__gfdl,-1.0042980421250476,1.0042980421250476
nmme-tmp2m-56w__cancm4,0.988155754028036,0.988155754028036
mei__meirank_49,-0.9614230339113565,0.9614230339113565
wind-hgt-850-2010-1,-0.9087494743162697,0.9087494743162697
mei__meirank_67,0.9082576656760616,0.9082576656760616
mei__meirank_66,0.8976424292334053,0.8976424292334053
nmme0-tmp2m-34w__gfdlflora0,0.8916541676187658,0.8916541676187658
nmme-prate-34w__ccsm3,-0.8875745040026936,0.8875745040026936
nmme-prate-34w__gfdlflorb,-0.8788155747511928,0.8788155747511928
nmme0mean,0.8783903051298909,0.8783903051298909
cancm40,-0.8768262334994985,0.8768262334994985
nmme-prate-34w__cancm4,-0.8511404564029504,0.8511404564029504
climateregions__climateregion_BSh,0.8403282436294243,0.8403282436294243
nmme-tmp2m-34w__ccsm3,-0.8242921832459346,0.8242921832459346
climateregions__climateregion_BWk,0.8186857735240386,0.8186857735240386
wind-hgt-500-2010-7,-0.8105746460732712,0.8105746460732712
wind-uwnd-925-2010-3,0.7891362695497296,0.7891362695497296
nmme-tmp2m-34w__ccsm4,-0.7814062075629575,0.7814062075629575
nmme-prate-34w__ccsm4,-0.7594333012992969,0.7594333012992969
nmme-prate-34w__cancm3,-0.7495374918861992,0.7495374918861992
wind-hgt-500-2010-2,-0.7451421691239498,0.7451421691239498
nmme-prate-56w__ccsm4,-0.7333330265262117,0.7333330265262117
wind-vwnd-925-2010-2,-0.7116389570766889,0.7116389570766889
nmme0-tmp2m-34w__nasa0,0.7065579672729124,0.7065579672729124
contest-wind-h10-14d__wind-hgt-10,0.6975489727846625,0.6975489727846625
contest-prwtr-eatm-14d__prwtr,0.6832429279126158,0.6832429279126158
mei__meirank_44,-0.6755560051070142,0.6755560051070142
icec-2010-5,-0.6680316775818425,0.6680316775818425
wind-uwnd-250-2010-3,0.6644910095393769,0.6644910095393769
wind-hgt-10-2010-2,0.6507726989777967,0.6507726989777967
nmme-tmp2m-34w__gfdlflorb,0.6317778640331234,0.6317778640331234
nmme-prate-34w__gfdlflora,-0.6312468329473897,0.6312468329473897
mei__meirank_63,0.6310116308119066,0.6310116308119066
nmme0-prate-34w__cfsv20,-0.6263235697865519,0.6263235697865519
mei__mei,-0.6153105481797282,0.6153105481797282
ccsm30,-0.6138711536373767,0.6138711536373767
wind-hgt-100-2010-7,-0.609601637757941,0.609601637757941
nmme0-prate-56w__gfdlflora0,-0.6012836859084841,0.6012836859084841
contest-rhum-sig995-14d__rhum,-0.6006027152660373,0.6006027152660373
wind-hgt-850-2010-10,0.5825840594875333,0.5825840594875333
wind-hgt-500-2010-3,0.5690555179963201,0.5690555179963201
nmme-prate-34w__nasa,-0.5623649108514335,0.5623649108514335
nmme0-prate-34w__gfdl0,-0.554992326041249,0.554992326041249
nmme0-prate-56w__gfdl0,-0.5541925500423895,0.5541925500423895
wind-uwnd-925-2010-12,0.5469403606945741,0.5469403606945741
mei__meirank_51,-0.533734788389643,0.533734788389643
icec-2010-8,0.5275589405721008,0.5275589405721008
wind-uwnd-250-2010-5,0.5238601883492271,0.5238601883492271
wind-hgt-850-2010-8,-0.5217490282932559,0.5217490282932559
wind-hgt-500-2010-8,-0.5193919089288421,0.5193919089288421
wind-uwnd-925-2010-2,0.5148132610392585,0.5148132610392585
nmme0-prate-56w__ccsm30,-0.5135704305798272,0.5135704305798272
climateregions__climateregion_Csb,-0.5090390393244015,0.5090390393244015
climateregions__climateregion_Dfc,-0.5006230201734135,0.5006230201734135
wind-hgt-500-2010-4,-0.4990801161574867,0.4990801161574867
mei__meirank_56,-0.4966487040319003,0.4966487040319003
cfsv20,0.49024227726872516,0.49024227726872516
nmme-prate-56w__cancm3,-0.4845265689188443,0.4845265689188443
wind-hgt-850-2010-9,0.48331624473129753,0.48331624473129753
wind-uwnd-250-2010-6,0.4826966698201073,0.4826966698201073
nmme0-prate-56w__cfsv20,-0.48004621014422544,0.48004621014422544
climateregions__climateregion_Cfb,-0.4752834463447308,0.4752834463447308
nmme0-prate-56w__nasa0,-0.47181461039545186,0.47181461039545186
wind-hgt-500-2010-5,0.4682902078432377,0.4682902078432377
nmme0-prate-34w__cancm40,-0.44136688968090243,0.44136688968090243
nmme0-prate-34w__nasa0,-0.43128829167507615,0.43128829167507615
nmme0-prate-34w__ccsm30,-0.4278814417580502,0.4278814417580502
nmme0-prate-56w__ccsm40,-0.4132069753769896,0.4132069753769896
nmme0-prate-34w__gfdlflora0,-0.3959660750315878,0.3959660750315878
contest-wind-h100-14d__wind-hgt-100,0.39025894677193174,0.39025894677193174
contest-wind-vwnd-925-14d__wind-vwnd-925,0.388062029278012,0.388062029278012
wind-hgt-850-2010-3,-0.3866971701852882,0.3866971701852882
nmme-prate-56w__gfdl,-0.38594831538725916,0.38594831538725916
wind-uwnd-250-2010-8,0.3855642565282624,0.3855642565282624
climateregions__climateregion_BSk,-0.38209946255810573,0.38209946255810573
nmme0-prate-56w__cancm30,-0.38141107079910125,0.38141107079910125
sst-2010-10,0.37870547665104765,0.37870547665104765
nmme-prate-56w__ccsm3,-0.37525147767198697,0.37525147767198697
wind-hgt-100-2010-5,-0.37396058228776197,0.37396058228776197
sst-2010-3,0.37318345993324126,0.37318345993324126
mei__meirank_47,0.3643984492634166,0.3643984492634166
wind-uwnd-250-2010-15,0.35815502934455523,0.35815502934455523
nmme0-prate-34w__gfdlflorb0,-0.3559916363429903,0.3559916363429903
wind-hgt-10-2010-6,0.34949496110676553,0.34949496110676553
sst-2010-8,0.343530890469763,0.343530890469763
wind-uwnd-250-2010-18,-0.3408849065571641,0.3408849065571641
wind-uwnd-925-2010-9,-0.3399834508099346,0.3399834508099346
sst-2010-6,0.33772054962749,0.33772054962749
climateregions__climateregion_Dsc,-0.3376694140324818,0.3376694140324818
nmme0-prate-56w__cancm40,-0.3316437407517798,0.3316437407517798
mei__meirank_64,0.32751370185437295,0.32751370185437295
climateregions__climateregion_Dwb,-0.32721242706453907,0.32721242706453907
wind-uwnd-250-2010-10,0.32719797127015365,0.32719797127015365
wind-hgt-100-2010-6,-0.3247842964713129,0.3247842964713129
gfdl0,0.31379126729574014,0.31379126729574014
mei__nip_3,-0.30813148957708913,0.30813148957708913
mei__nip_4,0.3081314881271314,0.3081314881271314
icec-2010-6,0.3056235625103921,0.3056235625103921
nmme-prate-56w__nasa,-0.30128785382497497,0.30128785382497497
mei__meirank_60,-0.299579139811255,0.299579139811255
nmme-prate-56w__gfdlflora,-0.29831799686592686,0.29831799686592686
wind-vwnd-250-2010-10,0.2946871227847497,0.2946871227847497
sst-2010-5,-0.29417792276180105,0.29417792276180105
contest-wind-uwnd-925-14d__wind-uwnd-925,0.29262288101106576,0.29262288101106576
sst-2010-9,0.2889579434933454,0.2889579434933454
wind-uwnd-250-2010-2,-0.2878103310257024,0.2878103310257024
sst-2010-7,-0.2853633587967893,0.2853633587967893
nmme0-prate-34w__ccsm40,-0.2827637423979425,0.2827637423979425
mei__meirank_48,0.27762015056234446,0.27762015056234446
wind-uwnd-250-2010-20,0.27489648356731566,0.27489648356731566
mei__meirank_37,-0.2745941853462006,0.2745941853462006
nmme0-prate-56w__gfdlflorb0,-0.27416119246626436,0.27416119246626436
lon,-0.27392397633447585,0.27392397633447585
wind-uwnd-250-2010-4,-0.267242086757987,0.267242086757987
wind-uwnd-250-2010-9,0.2669007973027355,0.2669007973027355
nmme0-tmp2m-34w__cancm30,0.25909413587416674,0.25909413587416674
nmme0-prate-34w__cancm30,-0.2566683687857955,0.2566683687857955
wind-uwnd-250-2010-11,-0.24503143117259987,0.24503143117259987
climateregions__climateregion_Dfb,-0.24283027245804129,0.24283027245804129
wind-hgt-10-2010-4,-0.24065196587941134,0.24065196587941134
icec-2010-7,0.2367627176338861,0.2367627176338861
nmme-prate-56w__cfsv2,-0.2366484524680084,0.2366484524680084
wind-uwnd-250-2010-17,-0.22429716450941586,0.22429716450941586
nmme-prate-56w__cancm4,-0.21966153262045685,0.21966153262045685
wind-vwnd-250-2010-12,0.21825834280898795,0.21825834280898795
mei__meirank_61,-0.21047739408185595,0.21047739408185595
wind-uwnd-925-2010-7,-0.21021605344327224,0.21021605344327224
wind-vwnd-250-2010-9,0.20738920290331295,0.20738920290331295
wind-uwnd-925-2010-13,-0.20372219831457666,0.20372219831457666
wind-vwnd-250-2010-1,-0.1992843497937931,0.1992843497937931
wind-vwnd-250-2010-15,-0.19797197201844094,0.19797197201844094
wind-uwnd-925-2010-10,0.19527852390093367,0.19527852390093367
wind-uwnd-925-2010-8,-0.19461370005543532,0.19461370005543532
climateregions__climateregion_Dwa,-0.1944053641135063,0.1944053641135063
wind-hgt-10-2010-3,0.19327598698205792,0.19327598698205792
wind-vwnd-925-2010-16,-0.1886132856840438,0.1886132856840438
wind-hgt-850-2010-5,-0.18819148319270682,0.18819148319270682
elevation__elevation,-0.18728412504897204,0.18728412504897204
wind-hgt-100-2010-8,-0.18657440634164973,0.18657440634164973
wind-uwnd-925-2010-5,0.18528008096523857,0.18528008096523857
wind-uwnd-925-2010-14,-0.17656985784890408,0.17656985784890408
nmme0-tmp2m-34w__cfsv20,-0.17649417069159834,0.17649417069159834
climateregions__climateregion_Csa,0.1744810914160593,0.1744810914160593
icec-2010-9,0.17174795690606334,0.17174795690606334
wind-vwnd-250-2010-3,-0.16979856936940388,0.16979856936940388
lat,0.1696082719737173,0.1696082719737173
nasa0,-0.16838485430319622,0.16838485430319622
wind-uwnd-925-2010-17,0.16711395761521508,0.16711395761521508
icec-2010-10,0.16278069134367057,0.16278069134367057
wind-vwnd-250-2010-7,0.16134244437565154,0.16134244437565154
wind-uwnd-925-2010-15,0.1604046424824336,0.1604046424824336
wind-uwnd-250-2010-7,-0.15907367222145094,0.15907367222145094
wind-hgt-10-2010-10,0.1587086465544662,0.1587086465544662
wind-vwnd-925-2010-5,0.1541253782749065,0.1541253782749065
wind-hgt-500-2010-6,-0.15340327549480665,0.15340327549480665
wind-vwnd-925-2010-18,0.15315639855276747,0.15315639855276747
icec-2010-3,0.1419657337914181,0.1419657337914181
wind-vwnd-925-2010-4,-0.14190225764046743,0.14190225764046743
wind-vwnd-925-2010-13,0.1364126642781746,0.1364126642781746
wind-vwnd-925-2010-6,0.1326993151831054,0.1326993151831054
wind-uwnd-925-2010-11,-0.12629875081179454,0.12629875081179454
wind-uwnd-925-2010-4,0.11770806217170593,0.11770806217170593
nmme-prate-56w__gfdlflorb,-0.11743287431525054,0.11743287431525054
nmme0-tmp2m-34w__ccsm30,0.11625589706098097,0.11625589706098097
climateregions__climateregion_Dfa,-0.11561956712209308,0.11561956712209308
nmme0-tmp2m-34w__gfdl0,0.11549517023292508,0.11549517023292508
mjo1d__phase_6,-0.11275786748742969,0.11275786748742969
wind-vwnd-925-2010-9,-0.11071626236164137,0.11071626236164137
wind-hgt-850-2010-2,-0.11001087152097824,0.11001087152097824
wind-vwnd-250-2010-5,-0.10772352235774893,0.10772352235774893
wind-uwnd-250-2010-12,-0.10752449914740228,0.10752449914740228
wind-uwnd-250-2010-19,0.10714625495774219,0.10714625495774219
contest-wind-vwnd-250-14d__wind-vwnd-250,-0.10536234699961165,0.10536234699961165
sst-2010-4,-0.09999111530598176,0.09999111530598176
contest-precip-14d__precip,-0.09774323110747553,0.09774323110747553
icec-2010-4,-0.09484207531233968,0.09484207531233968
nmme-tmp2m-56w__gfdlflora,-0.09284219861704195,0.09284219861704195
wind-uwnd-925-2010-20,-0.09273406021582047,0.09273406021582047
wind-vwnd-250-2010-14,-0.09261454908064505,0.09261454908064505
wind-uwnd-250-2010-14,0.08894192358664847,0.08894192358664847
wind-vwnd-250-2010-2,0.08850093889093086,0.08850093889093086
wind-uwnd-925-2010-19,0.08816356442544646,0.08816356442544646
wind-vwnd-250-2010-8,0.08638233850945413,0.08638233850945413
wind-uwnd-925-2010-18,-0.0856109409891401,0.0856109409891401
wind-hgt-100-2010-10,0.08418445985690687,0.08418445985690687
wind-vwnd-925-2010-14,-0.081851851395562,0.081851851395562
wind-vwnd-250-2010-20,-0.08133365545134494,0.08133365545134494
wind-hgt-100-2010-9,0.0771431552401501,0.0771431552401501
nmme-tmp2m-34w__gfdlflora,-0.07481979053920026,0.07481979053920026
mjo1d__phase_2,0.07315599637300137,0.07315599637300137
contest-wind-uwnd-250-14d__wind-uwnd-250,-0.07151564427558896,0.07151564427558896
sst-2010-2,0.07108635720286731,0.07108635720286731
wind-hgt-10-2010-8,-0.07033803426539326,0.07033803426539326
wind-vwnd-250-2010-19,-0.061944168428833726,0.061944168428833726
nmme-tmp2m-56w__nmmemean,0.06183816219588349,0.06183816219588349
nmme-tmp2m-56w__ccsm3,0.06153955369496227,0.06153955369496227
wind-vwnd-250-2010-11,0.060877353728741625,0.060877353728741625
wind-vwnd-250-2010-16,0.06012937437095444,0.06012937437095444
wind-vwnd-925-2010-10,0.0591763342969155,0.0591763342969155
mjo1d__phase_3,0.05728547606160169,0.05728547606160169
wind-vwnd-250-2010-6,0.05655062348469639,0.05655062348469639
wind-uwnd-250-2010-16,-0.056469904752921,0.056469904752921
contest-pevpr-sfc-gauss-14d__pevpr,-0.05609844212595448,0.05609844212595448
climateregions__climateregion_Cfa,0.05588751249233035,0.05588751249233035
nmme-tmp2m-56w__ccsm4,-0.054227256484281554,0.054227256484281554
wind-vwnd-250-2010-17,-0.050174366834914746,0.050174366834914746
nmme0-tmp2m-34w__ccsm40,0.049598701926317414,0.049598701926317414
climateregions__climateregion_Dsb,-0.04858273896306775,0.04858273896306775
wind-vwnd-925-2010-7,-0.045609528984437285,0.045609528984437285
mei__meirank_53,0.0455689519358377,0.0455689519358377
wind-vwnd-925-2010-20,0.04497993170440861,0.04497993170440861
mjo1d__phase_5,-0.044951685980247326,0.044951685980247326
wind-hgt-850-2010-6,-0.04444733112505309,0.04444733112505309
wind-uwnd-250-2010-13,-0.04305485969758566,0.04305485969758566
mjo1d__phase_4,0.03816852837384843,0.03816852837384843
wind-vwnd-250-2010-13,-0.03642407996034976,0.03642407996034976
wind-vwnd-925-2010-12,-0.03636717010576667,0.03636717010576667
wind-hgt-10-2010-9,-0.036135062871882506,0.036135062871882506
wind-vwnd-925-2010-3,-0.03594530970464717,0.03594530970464717
wind-vwnd-250-2010-4,0.032164087076743765,0.032164087076743765
wind-hgt-100-2010-2,-0.03191589944129393,0.03191589944129393
mjo1d__phase_7,-0.03132269685905571,0.03132269685905571
wind-hgt-850-2010-7,0.02962555852197966,0.02962555852197966
wind-hgt-850-2010-4,-0.029547028791128867,0.029547028791128867
wind-hgt-500-2010-10,-0.028245887339214425,0.028245887339214425
wind-vwnd-925-2010-8,0.028204358277346735,0.028204358277346735
wind-vwnd-925-2010-19,-0.027337213325009203,0.027337213325009203
wind-uwnd-925-2010-16,0.021650912049313013,0.021650912049313013
icec-2010-2,0.021499527733217956,0.021499527733217956
mjo1d__amplitude,0.019989877903481938,0.019989877903481938
mjo1d__phase_1,0.018544745176868556,0.018544745176868556
month,0.014592327482552979,0.014592327482552979
wind-vwnd-250-2010-18,0.012891721371754102,0.012891721371754102
wind-vwnd-925-2010-11,-0.005562076515111583,0.005562076515111583
wind-vwnd-925-2010-17,0.0022914447523745647,0.0022914447523745647
mjo1d__phase_8,0.0018774776657878597,0.0018774776657878597
wind-vwnd-925-2010-15,-0.000990885468689519,0.000990885468689519
wind-hgt-500-2010-9,-0.0006086383605873583,0.0006086383605873583
